Titulo,Empresa,Local,Data,Categoria
Arquiteto/a  Porto,"NOBRE ARQUITECTOS, LDA",Porto,12-9-2024,Arquitectura / Design
Junior Recruiter,SANBAO RECRUITMENT LDA,Lisboa,12-9-2024,Gestão RH
Ajudante p/ loja e armazém,PITADAFORTE LDA,Setubal,12-9-2024,Lojas / Comércio / Balcão
Precisa-se de Tubistas França,"Jesus Pereira, Unipessoal Lda",Outros Locais - Estrangeiro,12-9-2024,Conservação / Manutenção / Técnica
Explicador/a para sala estudo 1º ciclo (2ª a 6ª feira)- urgente,Planeta Aprender,Lisboa,12-9-2024,Educação / Formação
Colaborador(a)  ÓPTICA,Centro Óptico de Tires,Lisboa,12-9-2024,Comercial / Vendas
Gestor de cliente internacional - Sector têxtil,GOLDENSTITCH MANUFACTURING,Porto,12-9-2024,Indústria / Produção
Tecnica/o Administrativa/o para o Cacem,Tecnisis,Lisboa,12-9-2024,Administração / Secretariado
Arquiteto ou Designer de Interiores,Black is Black,Faro,12-9-2024,Arquitectura / Design
Grupo Praça - PÓVOA DE VARZIM - Estamos a recrutar Chefe de Cozinha (M/F) e Cozinheiro/a,"CIRCULPLATEIA, LDA",Porto,12-9-2024,Hotelaria / Turismo
Modista (M/F) - Guimarães,INTIME - TRABALHO TEMPORARIO LDA,Braga,12-9-2024,Beleza / Moda / Bem Estar
ELECTRICISTA MANUTENÇÃO INDUSTRIAL (M/F) - Freamunde,INTIME - TRABALHO TEMPORARIO LDA,Porto,12-9-2024,Indústria / Produção
Professor(a) aulas de Pilates - Vila Nova de Gaia,Fit222,Porto,12-9-2024,Desporto / Ginásios
Ajudante de motorista,"Fipal Porto,lda",Porto,12-9-2024,Transportes / Logística
"Médico Dentista generalista, com experiencia em extrações, prótese fixa e endodontia",REC PERFILDENTE LDA,Lisboa,12-9-2024,Saúde / Medicina / Enfermagem
Empregado de mesa,BOTECO DO SAUL UNIPESSOAL LDA,Leiria,12-9-2024,Restauração / Bares / Pastelarias
Gestor/a Operacional de Apoio Domiciliário,Confidencial,Lisboa,12-9-2024,Saúde / Medicina / Enfermagem
Empregado de Armazem- Alcanena,Anonima,Santarem,12-9-2024,Transportes / Logística
Mecânico Auto  (M/F),Autolombos,Lisboa,12-9-2024,Conservação / Manutenção / Técnica
Consultor Imobiliário/a,Remax Visão,Aveiro,12-9-2024,Imobiliário
Gestor de Cliente,"Dunbelt - Engenharia e Movimento Industrial, SA",Lisboa,12-9-2024,Comercial / Vendas
Lar de Idosos recruta FISIOTERAPEUTA - Famalicão,Paraíso dos Avós,Braga,12-9-2024,Saúde / Medicina / Enfermagem
3 Comerciais para  zona da Grande Lisboa,NATURALAR,Lisboa,12-9-2024,Comercial / Vendas
Auxiliar de Ação Educativa,FORDEL,Lisboa,12-9-2024,Educação / Formação
Operário Fabril Sintra- Belas,Anonima,Lisboa,12-9-2024,Indústria / Produção
Chefe de equipa p/montagem de estrututras em madeira,PROJECTOS OLIVEIRA,Outros Locais - Estrangeiro,12-9-2024,Construção Civil
Empregado/a de balcão para cafetaria: Tempo Inteiro,Confeitaria Juquinha,Porto,12-9-2024,Restauração / Bares / Pastelarias
empregada/o para limpeza de fábrica para pastelaria,Confeitaria Juquinha,Porto,12-9-2024,Hotelaria / Turismo
Padeiro,ESPIGASOL SOC PANIFICACAO LDA,Lisboa,12-9-2024,Hotelaria / Turismo
Contabilista(m/f),Endutex - Revestimentos Têxteis S.A.,Porto,12-9-2024,Contabilidade / Finanças
Contabilista Certificado  ou em Processo de Certificação (M/F) - Santarém,CAUSAS IMBATIVEIS LDA,Santarem,12-9-2024,Contabilidade / Finanças
"Procura-se Técnico de Contabilidade (Porto, Boavista)","Cgi 2 - Consultoria, Gestão e Inovação Lda",Porto,12-9-2024,Contabilidade / Finanças
